adm1_name,cast_raw,cast_state,adm1_join,forecast_date
Aguascalientes,6.0,0.018900614269963777,Aguascalientes,2025-10-01
Baja California,257.0,0.8095763112301152,Baja California,2025-10-01
Baja California Sur,12.0,0.03780122853992755,Baja California Sur,2025-10-01
Campeche,34.0,0.10710348086312807,Campeche,2025-10-01
Chiapas,12.0,0.03780122853992755,Chiapas,2025-10-01
Chihuahua,72.0,0.22680737123956535,Chihuahua,2025-10-01
Ciudad de Mexico,93.0,0.2929595211844386,Ciudad De Mexico,2025-10-01
Coahuila de Zaragoza,6.0,0.018900614269963777,Coahuila De Zaragoza,2025-10-01
Colima,76.0,0.23940778075287453,Colima,2025-10-01
Durango,12.0,0.03780122853992755,Durango,2025-10-01
Guanajuato,351.0,1.0,Guanajuato,2025-10-01
Guerrero,164.0,0.5166167900456766,Guerrero,2025-10-01
Hidalgo,71.0,0.22365726886123805,Hidalgo,2025-10-01
Jalisco,125.0,0.393762797290912,Jalisco,2025-10-01
Mexico,56.0,0.1764057331863286,Mexico,2025-10-01
Michoacan de Ocampo,272.0,0.8568278469050246,Michoacan De Ocampo,2025-10-01
Morelos,122.0,0.38431249015593016,Morelos,2025-10-01
Nayarit,0.0,0.0,Nayarit,2025-10-01
Nuevo Leon,290.0,0.9135296897149159,Nuevo Leon,2025-10-01
Oaxaca,45.0,0.14175460702472834,Oaxaca,2025-10-01
Puebla,145.0,0.45676484485745794,Puebla,2025-10-01
Queretaro,6.0,0.018900614269963777,Queretaro,2025-10-01
Quintana Roo,6.0,0.018900614269963777,Quintana Roo,2025-10-01
San Luis Potosi,6.0,0.018900614269963777,San Luis Potosi,2025-10-01
Sinaloa,700.0,1.0,Sinaloa,2025-10-01
Sonora,84.0,0.2646085997794929,Sonora,2025-10-01
Tabasco,48.0,0.1512049141597102,Tabasco,2025-10-01
Tamaulipas,66.0,0.20790675696960156,Tamaulipas,2025-10-01
Tlaxcala,0.0,0.0,Tlaxcala,2025-10-01
Veracruz de Ignacio de la Llave,226.0,0.711923137501969,Veracruz De Ignacio De La Llave,2025-10-01
Yucatan,0.0,0.0,Yucatan,2025-10-01
Zacatecas,12.0,0.03780122853992755,Zacatecas,2025-10-01
